Année;Code IRIS;Nom IRIS;Numéro de voie;Indice de répétition;Type de voie;Libellé de voie;Code Commune;Nom Commune;Segment de client;Nombre de logements;Consommation annuelle totale de l'adresse (MWh);Consommation annuelle moyenne par logement de l'adresse (MWh);Consommation annuelle moyenne de la commune (MWh);Adresse;Code EPCI;Code Département;Code Région;Tri des adresses
2018;740100503;Geneve;72.0;;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;23;142.918;6.214;3.092;72 AVENUE DE GENEVE;200066793.0;74.0;84.0;410507
2018;740100503;Geneve;70.0;;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;15;25.779;1.719;3.092;70 AVENUE DE GENEVE;200066793.0;74.0;84.0;410509
2018;740100503;Geneve;65.0;;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;14;17.356;1.24;3.092;65 AVENUE DE GENEVE;200066793.0;74.0;84.0;410514
2018;740100304;Galbert;45.0;;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;20;58.002;2.9;3.092;45 AVENUE DE GENEVE;200066793.0;74.0;84.0;410521
2018;740100502;Fier;125.0;B;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;38;70.683;1.86;3.092;125 B AVENUE DE GENEVE;200066793.0;74.0;84.0;410535
2018;740100502;Fier;119.0;B;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;35;51.222;1.463;3.092;119 B AVENUE DE GENEVE;200066793.0;74.0;84.0;410536
2018;740100503;Geneve;38.0;B;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;16;58.319;3.645;3.092;38 B AVENUE DE GENEVE;200066793.0;74.0;84.0;410541
2018;740100304;Galbert;10.0;T;AVENUE;DE GENEVE;74010;ANNECY;RESIDENTIEL;23;67.235;2.923;3.092;10 T AVENUE DE GENEVE;200066793.0;74.0;84.0;410543
2018;74010xxxx;Fictif - Annecy;41.0;;RUE;DE L AERODROME;74010;ANNECY;RESIDENTIEL;14;21.865;1.562;3.092;41 RUE DE L AERODROME;200066793.0;74.0;84.0;410579
2018;74010xxxx;Fictif - Annecy;18.0;B;RUE;DE L AERODROME;74010;ANNECY;RESIDENTIEL;10;20.167;2.017;3.092;18 B RUE DE L AERODROME;200066793.0;74.0;84.0;410588
2018;74010xxxx;Fictif - Annecy;50.0;;RUE;DE L ANGOULEME;74010;ANNECY;RESIDENTIEL;24;48.851;2.035;3.092;50 RUE DE L ANGOULEME;200066793.0;74.0;84.0;410590
2018;74010xxxx;Fictif - Annecy;40.0;;RUE;DE L ANGOULEME;74010;ANNECY;RESIDENTIEL;20;44.114;2.206;3.092;40 RUE DE L ANGOULEME;200066793.0;74.0;84.0;410593
2018;740100101;Courier;8.0;;RUE;DE L ANNEXION;74010;ANNECY;RESIDENTIEL;13;51.782;3.983;3.092;8 RUE DE L ANNEXION;200066793.0;74.0;84.0;410595
2018;740101001;Centre Ville-Chevennes;10.0;;RUE;DE L ARLEQUIN;74010;ANNECY;RESIDENTIEL;14;82.291;5.878;3.092;10 RUE DE L ARLEQUIN;200066793.0;74.0;84.0;410600
2018;740100103;Vieille Ville;14.0;;PLACE;DE L HOTEL DE VILLE;74010;ANNECY;RESIDENTIEL;12;18.142;1.512;3.092;14 PLACE DE L HOTEL DE VILLE;200066793.0;74.0;84.0;410615
2018;740100205;Gare;5.0;;RUE;DE L INDUSTRIE;74010;ANNECY;RESIDENTIEL;12;36.526;3.044;3.092;5 RUE DE L INDUSTRIE;200066793.0;74.0;84.0;410620
2018;74010xxxx;Fictif - Annecy;9.0;;RUE;DE L ISERNON;74010;ANNECY;RESIDENTIEL;10;48.572;4.857;3.092;9 RUE DE L ISERNON;200066793.0;74.0;84.0;410625
2018;740100204;Loverchy;15.0;B;RUE;DE L ISERNON;74010;ANNECY;RESIDENTIEL;45;59.155;1.315;3.092;15 B RUE DE L ISERNON;200066793.0;74.0;84.0;410627
2018;74010xxxx;Fictif - Annecy;36.0;;RUE;DE LA BARALLAZ;74010;ANNECY;RESIDENTIEL;15;24.861;1.657;3.092;36 RUE DE LA BARALLAZ;200066793.0;74.0;84.0;410633
2018;74010xxxx;Fictif - Annecy;51.0;;CHEMIN;DE LA CANAUD;74010;ANNECY;RESIDENTIEL;18;99.153;5.508;3.092;51 CHEMIN DE LA CANAUD;200066793.0;74.0;84.0;410639
2018;74010xxxx;Fictif - Annecy;2.0;;ALLEE;DE LA CHENAIE;74010;ANNECY;RESIDENTIEL;19;29.504;1.553;3.092;2 ALLEE DE LA CHENAIE;200066793.0;74.0;84.0;410643
2018;740100601;Novel-Annapurna;17.0;;CHEMIN;DE LA COLLINE;74010;ANNECY;RESIDENTIEL;11;18.537;1.685;3.092;17 CHEMIN DE LA COLLINE;200066793.0;74.0;84.0;410648
2018;740100601;Novel-Annapurna;16.0;;CHEMIN;DE LA COLLINE;74010;ANNECY;RESIDENTIEL;14;17.986;1.285;3.092;16 CHEMIN DE LA COLLINE;200066793.0;74.0;84.0;410649
2018;74010xxxx;Fictif - Annecy;32.0;;RUE;DE LA COUR;74010;ANNECY;RESIDENTIEL;12;55.856;4.655;3.092;32 RUE DE LA COUR;200066793.0;74.0;84.0;410659
2018;74010xxxx;Fictif - Annecy;26.0;;RUE;DE LA COUR;74010;ANNECY;RESIDENTIEL;12;72.273;6.023;3.092;26 RUE DE LA COUR;200066793.0;74.0;84.0;410662
2018;74010xxxx;Fictif - Annecy;4.0;;RUE;DE LA COUR;74010;ANNECY;RESIDENTIEL;11;24.019;2.184;3.092;4 RUE DE LA COUR;200066793.0;74.0;84.0;410665
2018;740100502;Fier;52.0;;RUE;DE LA CRETE;74010;ANNECY;RESIDENTIEL;13;21.741;1.672;3.092;52 RUE DE LA CRETE;200066793.0;74.0;84.0;410667
2018;740100502;Fier;42.0;;RUE;DE LA CRETE;74010;ANNECY;RESIDENTIEL;14;27.766;1.983;3.092;42 RUE DE LA CRETE;200066793.0;74.0;84.0;410674
2018;740100502;Fier;31.0;;RUE;DE LA CRETE;74010;ANNECY;RESIDENTIEL;10;47.282;4.728;3.092;31 RUE DE LA CRETE;200066793.0;74.0;84.0;410679
2018;740100204;Loverchy;4.0;;CHEMIN;DE LA CROIX ROUGE;74010;ANNECY;RESIDENTIEL;15;40.15;2.677;3.092;4 CHEMIN DE LA CROIX ROUGE;200066793.0;74.0;84.0;410687
2018;740100204;Loverchy;1.0;;CHEMIN;DE LA CROIX ROUGE;74010;ANNECY;RESIDENTIEL;12;49.966;4.164;3.092;1 CHEMIN DE LA CROIX ROUGE;200066793.0;74.0;84.0;410689
2018;74010xxxx;Fictif - Annecy;20.0;;RUE;DE LA DONZIERE;74010;ANNECY;RESIDENTIEL;12;22.575;1.881;3.092;20 RUE DE LA DONZIERE;200066793.0;74.0;84.0;410698
2018;74010xxxx;Fictif - Annecy;13.0;;RUE;DE LA DONZIERE;74010;ANNECY;RESIDENTIEL;15;36.838;2.456;3.092;13 RUE DE LA DONZIERE;200066793.0;74.0;84.0;410704
2018;74010xxxx;Fictif - Annecy;27.0;;CHEMIN;DE LA FRUITIERE;74010;ANNECY;RESIDENTIEL;12;86.533;7.211;3.092;27 CHEMIN DE LA FRUITIERE;200066793.0;74.0;84.0;410719
2018;74010xxxx;Fictif - Annecy;23.0;;CHEMIN;DE LA FRUITIERE;74010;ANNECY;RESIDENTIEL;12;67.317;5.61;3.092;23 CHEMIN DE LA FRUITIERE;200066793.0;74.0;84.0;410721
2018;740100205;Gare;21.0;;RUE;DE LA GARE;74010;ANNECY;RESIDENTIEL;18;47.77;2.654;3.092;21 RUE DE LA GARE;200066793.0;74.0;84.0;410735
2018;740100103;Vieille Ville;6.0;;RUE;DE LA GARE;74010;ANNECY;RESIDENTIEL;20;36.055;1.803;3.092;6 RUE DE LA GARE;200066793.0;74.0;84.0;410741
2018;74010xxxx;Fictif - Annecy;34.0;;RUE;DE LA JONCHERE;74010;ANNECY;RESIDENTIEL;17;101.763;5.986;3.092;34 RUE DE LA JONCHERE;200066793.0;74.0;84.0;410744
2018;740101102;Le Jourdil-Beauregard;9.0;;RUE;DE LA LOUVATIERE;74010;ANNECY;RESIDENTIEL;12;27.368;2.281;3.092;9 RUE DE LA LOUVATIERE;200066793.0;74.0;84.0;410774
2018;740101102;Le Jourdil-Beauregard;2.0;;RUE;DE LA LOUVATIERE;74010;ANNECY;RESIDENTIEL;37;93.176;2.518;3.092;2 RUE DE LA LOUVATIERE;200066793.0;74.0;84.0;410779
2018;740100205;Gare;18.0;;AVENUE;DE LA MANDALLAZ;74010;ANNECY;RESIDENTIEL;18;64.046;3.558;3.092;18 AVENUE DE LA MANDALLAZ;200066793.0;74.0;84.0;410782
2018;740100802;Varde;51.0;;RUE;DE LA MINOTERIE;74010;ANNECY;RESIDENTIEL;38;54.49;1.434;3.092;51 RUE DE LA MINOTERIE;200066793.0;74.0;84.0;410818
2018;740100802;Varde;43.0;;RUE;DE LA MINOTERIE;74010;ANNECY;RESIDENTIEL;12;13.563;1.13;3.092;43 RUE DE LA MINOTERIE;200066793.0;74.0;84.0;410819
2018;740100802;Varde;29.0;;RUE;DE LA MINOTERIE;74010;ANNECY;RESIDENTIEL;14;20.462;1.462;3.092;29 RUE DE LA MINOTERIE;200066793.0;74.0;84.0;410825
2018;740100802;Varde;11.0;;RUE;DE LA MINOTERIE;74010;ANNECY;RESIDENTIEL;32;28.303;0.884;3.092;11 RUE DE LA MINOTERIE;200066793.0;74.0;84.0;410830
2018;74010xxxx;Fictif - Annecy;3.0;;RUE;DE LA MINOTERIE;74010;ANNECY;RESIDENTIEL;14;25.947;1.853;3.092;3 RUE DE LA MINOTERIE;200066793.0;74.0;84.0;410838
2018;740100102;Bonlieu;11.0;;RUE;DE LA PAIX;74010;ANNECY;RESIDENTIEL;29;42.935;1.481;3.092;11 RUE DE LA PAIX;200066793.0;74.0;84.0;410850
2018;740100102;Bonlieu;24.0;B;RUE;DE LA PAIX;74010;ANNECY;RESIDENTIEL;19;38.332;2.017;3.092;24 B RUE DE LA PAIX;200066793.0;74.0;84.0;410856
2018;740101101;Renoir-Cran Ancien;32.0;;RUE;DE LA PEROLLIERE;74010;ANNECY;RESIDENTIEL;10;27.104;2.71;3.092;32 RUE DE LA PEROLLIERE;200066793.0;74.0;84.0;410865
2018;740101101;Renoir-Cran Ancien;26.0;;RUE;DE LA PEROLLIERE;74010;ANNECY;RESIDENTIEL;10;21.638;2.164;3.092;26 RUE DE LA PEROLLIERE;200066793.0;74.0;84.0;410868
2018;74010xxxx;Fictif - Annecy;11.0;;RUE;DE LA PESSE;74010;ANNECY;RESIDENTIEL;15;35.82;2.388;3.092;11 RUE DE LA PESSE;200066793.0;74.0;84.0;410874
2018;740100604;Novel-Teppes;84.0;;AVENUE;DE LA PLAINE;74010;ANNECY;RESIDENTIEL;14;23.541;1.681;3.092;84 AVENUE DE LA PLAINE;200066793.0;74.0;84.0;410878
2018;740100604;Novel-Teppes;76.0;;AVENUE;DE LA PLAINE;74010;ANNECY;RESIDENTIEL;39;58.345;1.496;3.092;76 AVENUE DE LA PLAINE;200066793.0;74.0;84.0;410882
2018;740100101;Courier;14.0;;RUE;DE LA POSTE;74010;ANNECY;RESIDENTIEL;20;29.615;1.481;3.092;14 RUE DE LA POSTE;200066793.0;74.0;84.0;410893
2018;740100101;Courier;4.0;;RUE;DE LA POSTE;74010;ANNECY;RESIDENTIEL;11;27.239;2.476;3.092;4 RUE DE LA POSTE;200066793.0;74.0;84.0;410895
2018;740100204;Loverchy;32.0;;CHEMIN;DE LA PRAIRIE;74010;ANNECY;RESIDENTIEL;38;68.164;1.794;3.092;32 CHEMIN DE LA PRAIRIE;200066793.0;74.0;84.0;410908
2018;740100103;Vieille Ville;22.0;;AVENUE;DE LA REPUBLIQUE;74010;ANNECY;RESIDENTIEL;10;55.95;5.595;3.092;22 AVENUE DE LA REPUBLIQUE;200066793.0;74.0;84.0;410926
2018;740100103;Vieille Ville;11.0;;AVENUE;DE LA REPUBLIQUE;74010;ANNECY;RESIDENTIEL;23;112.7;4.9;3.092;11 AVENUE DE LA REPUBLIQUE;200066793.0;74.0;84.0;410932
2018;740100303;Romains;73.0;;BOULEVARD;DE LA ROCADE;74010;ANNECY;RESIDENTIEL;19;56.077;2.951;3.092;73 BOULEVARD DE LA ROCADE;200066793.0;74.0;84.0;410947
2018;740100304;Galbert;4.0;;BOULEVARD;DE LA ROCADE;74010;ANNECY;RESIDENTIEL;20;56.124;2.806;3.092;4 BOULEVARD DE LA ROCADE;200066793.0;74.0;84.0;410962
2018;740100601;Novel-Annapurna;33.0;;RUE;DE LACHAT;74010;ANNECY;RESIDENTIEL;24;119.303;4.971;3.092;33 RUE DE LACHAT;200066793.0;74.0;84.0;410977
2018;740100601;Novel-Annapurna;20.0;;RUE;DE LACHAT;74010;ANNECY;RESIDENTIEL;13;78.395;6.03;3.092;20 RUE DE LACHAT;200066793.0;74.0;84.0;410980
2018;740101103;Le Vallon-Riante Colline;9.0;;RUE;DE MILLEMOUX;74010;ANNECY;RESIDENTIEL;18;69.847;3.88;3.092;9 RUE DE MILLEMOUX;200066793.0;74.0;84.0;410999
2018;74010xxxx;Fictif - Annecy;28.0;;RUE;DES POMMARIES;74010;ANNECY;RESIDENTIEL;15;31.123;2.075;3.092;28 RUE DES POMMARIES;200066793.0;74.0;84.0;411501
2018;74010xxxx;Fictif - Annecy;8.0;;RUE;DES POMMARIES;74010;ANNECY;RESIDENTIEL;12;15.065;1.255;3.092;8 RUE DES POMMARIES;200066793.0;74.0;84.0;411504
2018;740100603;Les Fins;6.0;B;RUE;DES PRES RIANTS;74010;ANNECY;RESIDENTIEL;10;24.313;2.431;3.092;6 B RUE DES PRES RIANTS;200066793.0;74.0;84.0;411515
2018;74010xxxx;Fictif - Annecy;17.0;;PARC;DES RAISSES;74010;ANNECY;RESIDENTIEL;22;168.524;7.66;3.092;17 PARC DES RAISSES;200066793.0;74.0;84.0;411519
2018;74010xxxx;Fictif - Annecy;3.0;;PARC;DES RAISSES;74010;ANNECY;RESIDENTIEL;25;174.384;6.975;3.092;3 PARC DES RAISSES;200066793.0;74.0;84.0;411526
2018;74010xxxx;Fictif - Annecy;4.0;;AVENUE;DES REGAINS;74010;ANNECY;RESIDENTIEL;41;60.633;1.479;3.092;4 AVENUE DES REGAINS;200066793.0;74.0;84.0;411528
2018;740100501;Vernet;70.0;;AVENUE;DES ROMAINS;74010;ANNECY;RESIDENTIEL;13;68.628;5.279;3.092;70 AVENUE DES ROMAINS;200066793.0;74.0;84.0;411530
2018;740100303;Romains;25.0;;AVENUE;DES ROMAINS;74010;ANNECY;RESIDENTIEL;12;79.938;6.662;3.092;25 AVENUE DES ROMAINS;200066793.0;74.0;84.0;411538
2018;74010xxxx;Fictif - Annecy;2.0;;IMPASSE;DES ROSIERS;74010;ANNECY;RESIDENTIEL;20;31.342;1.567;3.092;2 IMPASSE DES ROSIERS;200066793.0;74.0;84.0;411546
2018;74010xxxx;Fictif - Annecy;55.0;;ALLEE;DES VERGERS;74010;ANNECY;RESIDENTIEL;10;21.189;2.119;3.092;55 ALLEE DES VERGERS;200066793.0;74.0;84.0;411578
2018;740100501;Vernet;7.0;;RUE;DU 11E BCA;74010;ANNECY;RESIDENTIEL;10;13.297;1.33;3.092;7 RUE DU 11E BCA;200066793.0;74.0;84.0;411583
2018;740100503;Geneve;23.0;;RUE;DU BEL AIR;74010;ANNECY;RESIDENTIEL;29;41.222;1.421;3.092;23 RUE DU BEL AIR;200066793.0;74.0;84.0;411595
2018;740100501;Vernet;14.0;;RUE;DU BEL AIR;74010;ANNECY;RESIDENTIEL;11;17.395;1.581;3.092;14 RUE DU BEL AIR;200066793.0;74.0;84.0;411597
