,Adresse,Année,Code Commune,Nom Commune,Segment de client,Code Département,Code Région,Nombre de logements,Consommation annuelle totale de l'adresse (MWh),Consommation annuelle moyenne par logement de l'adresse (MWh),Consommation annuelle moyenne de la commune (MWh)
0,72 AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,23,142.918,6.214,3.092
1,70 AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,15,25.779,1.719,3.092
2,65 AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,17.356,1.24,3.092
3,45 AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,20,58.002,2.9,3.092
4,125 B AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,38,70.683,1.86,3.092
5,119 B AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,35,51.222,1.463,3.092
6,38 B AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,16,58.319,3.645,3.092
7,10 T AVENUE DE GENEVE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,23,67.235,2.923,3.092
8,41 RUE DE L AERODROME,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,21.865,1.562,3.092
9,18 B RUE DE L AERODROME,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,10,20.167,2.017,3.092
10,50 RUE DE L ANGOULEME,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,24,48.851,2.035,3.092
11,40 RUE DE L ANGOULEME,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,20,44.114,2.206,3.092
12,8 RUE DE L ANNEXION,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,13,51.782,3.983,3.092
13,10 RUE DE L ARLEQUIN,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,82.291,5.878,3.092
14,14 PLACE DE L HOTEL DE VILLE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,18.142,1.512,3.092
15,5 RUE DE L INDUSTRIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,36.526,3.044,3.092
16,9 RUE DE L ISERNON,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,10,48.572,4.857,3.092
17,15 B RUE DE L ISERNON,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,45,59.155,1.315,3.092
18,36 RUE DE LA BARALLAZ,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,15,24.861,1.657,3.092
19,51 CHEMIN DE LA CANAUD,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,18,99.153,5.508,3.092
20,2 ALLEE DE LA CHENAIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,19,29.504,1.553,3.092
21,17 CHEMIN DE LA COLLINE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,11,18.537,1.685,3.092
22,16 CHEMIN DE LA COLLINE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,17.986,1.285,3.092
23,32 RUE DE LA COUR,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,55.856,4.655,3.092
24,26 RUE DE LA COUR,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,72.273,6.023,3.092
25,4 RUE DE LA COUR,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,11,24.019,2.184,3.092
26,52 RUE DE LA CRETE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,13,21.741,1.672,3.092
27,42 RUE DE LA CRETE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,27.766,1.983,3.092
28,31 RUE DE LA CRETE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,10,47.282,4.728,3.092
29,4 CHEMIN DE LA CROIX ROUGE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,15,40.15,2.677,3.092
30,1 CHEMIN DE LA CROIX ROUGE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,49.966,4.164,3.092
31,20 RUE DE LA DONZIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,22.575,1.881,3.092
32,13 RUE DE LA DONZIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,15,36.838,2.456,3.092
33,27 CHEMIN DE LA FRUITIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,86.533,7.211,3.092
34,23 CHEMIN DE LA FRUITIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,67.317,5.61,3.092
35,21 RUE DE LA GARE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,18,47.77,2.654,3.092
36,6 RUE DE LA GARE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,20,36.055,1.803,3.092
37,34 RUE DE LA JONCHERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,17,101.763,5.986,3.092
38,9 RUE DE LA LOUVATIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,27.368,2.281,3.092
39,2 RUE DE LA LOUVATIERE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,37,93.176,2.518,3.092
40,18 AVENUE DE LA MANDALLAZ,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,18,64.046,3.558,3.092
41,51 RUE DE LA MINOTERIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,38,54.49,1.434,3.092
42,43 RUE DE LA MINOTERIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,12,13.563,1.13,3.092
43,29 RUE DE LA MINOTERIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,20.462,1.462,3.092
44,11 RUE DE LA MINOTERIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,32,28.303,0.884,3.092
45,3 RUE DE LA MINOTERIE,2018,74010,ANNECY,RESIDENTIEL,74.0,84.0,14,25.947,1.853,3.092
