Année;Code IRIS;Nom IRIS;Numéro de voie;Indice de répétition;Type de voie;Libellé de voie;Code Commune;Nom Commune;Segment de client;Nombre de logements;Consommation annuelle totale de l'adresse (MWh);Consommation annuelle moyenne par logement de l'adresse (MWh);Consommation annuelle moyenne de la commune (MWh);Adresse;Code EPCI;Code Département;Code Région;Tri des adresses
2019;920040503;Gresillons Iii;4;;RUE;MARCEAU DELORME;92004;Asnières-sur-Seine;RESIDENTIEL;20;50.322;2.516;3.272;4 RUE MARCEAU DELORME;200054781;92;11;20009
2019;920040502;Gresillons Ii;2;;RUE;MARIA MONTESSORI;92004;Asnières-sur-Seine;RESIDENTIEL;36;195.247;5.424;3.272;2 RUE MARIA MONTESSORI;200054781;92;11;20011
2019;920040401;Mairie i;56;;RUE;MAURICE BOKANOWSKI;92004;Asnières-sur-Seine;RESIDENTIEL;13;24.689;1.899;3.272;56 RUE MAURICE BOKANOWSKI;200054781;92;11;20018
2019;920040401;Mairie i;38;;RUE;MAURICE BOKANOWSKI;92004;Asnières-sur-Seine;RESIDENTIEL;13;26.807;2.062;3.272;38 RUE MAURICE BOKANOWSKI;200054781;92;11;20025
2019;920040403;Mairie Iii;5;;RUE;MAURICE BOKANOWSKI;92004;Asnières-sur-Seine;RESIDENTIEL;11;24.715;2.247;3.272;5 RUE MAURICE BOKANOWSKI;200054781;92;11;20032
2019;920040402;Mairie Ii;4;;RUE;MAURICE BOKANOWSKI;92004;Asnières-sur-Seine;RESIDENTIEL;12;52.432;4.369;3.272;4 RUE MAURICE BOKANOWSKI;200054781;92;11;20033
2019;920040604;Metro;2;;AVENUE;MOLIERE;92004;Asnières-sur-Seine;RESIDENTIEL;33;158.198;4.794;3.272;2 AVENUE MOLIERE;200054781;92;11;20056
2019;920040604;Metro;42;;RUE;MORTINAT;92004;Asnières-sur-Seine;RESIDENTIEL;11;46.671;4.243;3.272;42 RUE MORTINAT;200054781;92;11;20066
2019;920040604;Metro;34;;RUE;MORTINAT;92004;Asnières-sur-Seine;RESIDENTIEL;22;61.909;2.814;3.272;34 RUE MORTINAT;200054781;92;11;20067
2019;920040604;Metro;4;;RUE;MORTINAT;92004;Asnières-sur-Seine;RESIDENTIEL;20;51.005;2.55;3.272;4 RUE MORTINAT;200054781;92;11;20073
